categoria,estacao,preco,desconto,tendencia,margem,historico_vendas,unidades
T-shirt,Outono,94.58,20,0,0.23,26,35
Casaco,Inverno,32.31,0,0,0.39,69,82
Calças,Verão,140.56,0,0,0.32,42,35
Casaco,Inverno,91.51,0,0,0.52,70,65
T-shirt,Outono,53.59,30,0,0.29,53,43
T-shirt,Verão,17.12,0,0,0.45,70,85
Sweater,Inverno,59.79,20,0,0.26,75,78
Sweater,Verão,79.69,0,0,0.38,3,10
Calças,Outono,101.52,20,1,0.42,52,74
Saia,Inverno,72.93,50,1,0.52,1,10
Vestido,Inverno,138.5,0,0,0.56,3,18
Saia,Outono,48.58,20,1,0.47,23,36
Calças,Verão,28.5,0,0,0.55,32,37
T-shirt,Inverno,143.62,10,0,0.61,17,18
T-shirt,Verão,131.86,0,0,0.25,81,65
Sweater,Primavera,90.88,10,0,0.49,17,21
Casaco,Verão,92.21,10,0,0.52,7,12
Sweater,Outono,63.63,20,1,0.4,55,84
Vestido,Outono,42.33,20,0,0.56,40,25
Vestido,Outono,58.46,0,0,0.4,15,27
T-shirt,Primavera,46.09,0,0,0.42,45,50
Vestido,Inverno,117.81,10,1,0.53,6,12
Casaco,Inverno,29.37,20,0,0.55,103,95
Saia,Primavera,53.65,10,0,0.21,55,62
Calças,Inverno,120.94,0,0,0.62,46,34
Casaco,Outono,41.03,0,0,0.65,53,49
T-shirt,Inverno,101.99,20,0,0.57,9,23
Calças,Primavera,57.43,0,0,0.56,50,44
Saia,Inverno,96.16,0,0,0.51,25,12
Casaco,Primavera,39.56,10,0,0.31,42,26
T-shirt,Inverno,100.35,10,1,0.55,19,18
Casaco,Primavera,120.55,20,0,0.64,27,15
Calças,Primavera,107.55,10,0,0.36,54,51
Sweater,Verão,37.78,10,1,0.41,14,18
Casaco,Primavera,94.51,30,0,0.27,15,19
Vestido,Outono,148.82,0,1,0.25,24,40
Vestido,Primavera,80.53,10,1,0.23,72,96
Sweater,Verão,88.48,0,0,0.58,2,5
Saia,Primavera,34.44,0,0,0.32,40,51
T-shirt,Inverno,62.11,20,0,0.39,24,20
Vestido,Inverno,61.79,0,0,0.45,18,19
Casaco,Inverno,145.65,10,0,0.59,83,52
Casaco,Primavera,140.19,0,1,0.61,5,26
T-shirt,Inverno,23.57,10,0,0.62,4,14
Saia,Primavera,94.69,10,0,0.24,51,51
Casaco,Outono,64.06,20,0,0.24,55,64
Casaco,Primavera,50.51,0,0,0.32,25,1
Calças,Outono,64.2,0,0,0.36,66,57
Casaco,Outono,92.33,10,0,0.45,69,57
Calças,Primavera,52.52,0,0,0.57,64,48
Calças,Outono,64.57,0,0,0.26,52,60
T-shirt,Outono,95.15,0,0,0.5,37,29
T-shirt,Verão,77.91,30,1,0.27,88,123
Casaco,Verão,34.66,10,0,0.59,18,15
T-shirt,Outono,108.49,10,0,0.21,53,28
Saia,Primavera,145.25,10,1,0.62,48,67
Casaco,Outono,38.32,0,0,0.64,52,41
Casaco,Verão,131.35,10,1,0.21,4,27
Sweater,Inverno,61.49,0,0,0.6,87,76
Casaco,Inverno,29.17,0,0,0.57,111,78
Saia,Verão,42.19,0,0,0.51,87,65
Vestido,Primavera,123.03,10,0,0.64,59,49
Vestido,Outono,146.99,10,0,0.5,30,23
Sweater,Primavera,68.34,20,0,0.3,26,25
Sweater,Inverno,63.6,10,1,0.31,63,94
Saia,Outono,57.29,20,0,0.32,17,22
T-shirt,Primavera,15.0,20,0,0.24,51,62
Saia,Inverno,11.47,50,0,0.49,1,26
Calças,Inverno,25.06,10,0,0.42,56,56
Calças,Primavera,75.7,30,0,0.48,57,64
T-shirt,Inverno,64.79,30,0,0.33,12,30
Casaco,Verão,42.45,30,1,0.45,1,9
Vestido,Inverno,27.59,10,0,0.42,3,14
T-shirt,Primavera,43.94,0,0,0.54,67,59
Vestido,Inverno,75.87,0,0,0.49,13,11
Calças,Primavera,52.17,0,1,0.3,66,65
Vestido,Outono,42.79,10,0,0.34,23,25
Vestido,Inverno,33.41,0,0,0.64,15,5
Saia,Verão,119.77,10,0,0.44,65,70
Saia,Primavera,131.52,10,0,0.5,42,38
Saia,Primavera,92.48,10,0,0.64,35,35
T-shirt,Outono,61.09,0,0,0.35,36,36
Calças,Primavera,23.89,20,1,0.35,53,72
Sweater,Verão,35.8,0,0,0.34,12,10
Casaco,Outono,143.61,30,0,0.36,74,64
Calças,Primavera,79.55,0,0,0.22,54,53
Calças,Outono,73.82,20,0,0.65,58,56
Sweater,Outono,54.32,20,0,0.64,68,62
Vestido,Inverno,49.1,0,0,0.52,1,26
Calças,Primavera,137.78,0,0,0.62,43,39
T-shirt,Outono,69.19,20,0,0.39,41,48
Casaco,Primavera,50.61,10,0,0.35,9,7
Calças,Verão,145.59,10,1,0.64,66,43
T-shirt,Outono,49.85,20,0,0.34,51,49
Sweater,Inverno,113.81,10,0,0.55,67,57
Casaco,Verão,57.36,20,0,0.64,8,8
Vestido,Outono,98.62,0,0,0.56,27,32
Sweater,Primavera,58.5,0,1,0.26,13,30
T-shirt,Primavera,100.5,10,0,0.54,60,68
T-shirt,Verão,49.02,0,0,0.64,78,68
Calças,Inverno,31.56,20,1,0.31,41,68
Casaco,Outono,85.08,0,0,0.54,38,36
Vestido,Outono,128.57,0,0,0.6,49,33
Vestido,Outono,70.62,0,1,0.62,22,28
Sweater,Outono,45.76,10,1,0.22,35,77
T-shirt,Verão,124.02,10,0,0.37,73,101
Sweater,Primavera,146.36,30,0,0.37,31,24
Calças,Verão,90.09,30,1,0.26,33,52
Casaco,Outono,78.21,0,0,0.51,63,53
Calças,Verão,44.51,0,0,0.26,42,32
Saia,Verão,51.73,0,0,0.21,86,64
Saia,Primavera,133.44,10,0,0.31,67,46
T-shirt,Primavera,55.12,10,1,0.3,74,78
Sweater,Inverno,109.97,30,0,0.46,78,77
Sweater,Inverno,57.01,0,1,0.47,83,82
Calças,Outono,102.23,10,0,0.3,41,63
Vestido,Outono,115.0,10,0,0.59,34,31
Saia,Inverno,53.41,0,0,0.41,2,1
Vestido,Inverno,101.39,30,0,0.28,11,32
Casaco,Primavera,54.94,0,1,0.42,35,33
T-shirt,Verão,12.5,0,0,0.51,59,82
T-shirt,Verão,56.98,0,1,0.39,116,109
Vestido,Outono,140.27,10,1,0.38,23,33
Calças,Inverno,90.22,0,0,0.34,55,41
Sweater,Outono,113.94,0,0,0.36,83,52
T-shirt,Inverno,47.18,10,1,0.41,26,32
Saia,Outono,140.84,10,0,0.4,20,21
Saia,Verão,72.22,10,0,0.2,56,71
T-shirt,Outono,111.88,0,0,0.54,42,43
Sweater,Primavera,12.08,0,0,0.62,12,18
Saia,Verão,53.2,50,0,0.26,62,94
Casaco,Inverno,76.9,20,0,0.28,79,79
Sweater,Verão,111.9,0,0,0.34,6,1
T-shirt,Inverno,90.99,0,1,0.35,14,23
Vestido,Inverno,83.42,50,0,0.21,19,16
T-shirt,Outono,77.49,20,0,0.42,34,41
Saia,Inverno,91.15,30,1,0.4,23,5
Calças,Inverno,101.19,0,0,0.28,63,41
Saia,Primavera,146.76,20,0,0.32,72,56
Casaco,Outono,39.95,0,0,0.54,70,51
Vestido,Outono,111.14,0,0,0.2,44,23
Saia,Inverno,124.71,0,0,0.35,19,4
T-shirt,Verão,59.17,20,0,0.62,110,92
Casaco,Inverno,118.69,10,0,0.54,69,76
Vestido,Inverno,134.56,20,0,0.39,18,9
Sweater,Primavera,13.59,30,1,0.44,19,30
Saia,Verão,80.94,50,0,0.6,85,88
T-shirt,Inverno,131.61,0,0,0.58,20,12
T-shirt,Verão,97.62,20,0,0.45,101,91
Sweater,Verão,74.45,0,0,0.39,8,5
Sweater,Inverno,61.61,0,0,0.46,65,68
Vestido,Primavera,86.13,0,1,0.37,69,66
Vestido,Inverno,115.83,10,0,0.53,18,6
Vestido,Verão,77.42,10,0,0.42,73,97
Casaco,Inverno,79.27,0,0,0.49,94,69
Saia,Verão,122.97,0,0,0.48,66,72
Calças,Verão,104.99,0,0,0.39,27,28
Casaco,Outono,51.54,10,0,0.64,51,54
Casaco,Inverno,10.41,0,0,0.63,102,74
Vestido,Outono,59.01,0,0,0.28,19,17
Calças,Inverno,102.54,0,1,0.6,53,52
Calças,Verão,22.96,20,0,0.38,36,47
Sweater,Verão,45.39,20,0,0.34,13,12
Vestido,Verão,131.81,20,0,0.48,110,85
Vestido,Outono,82.5,30,0,0.61,15,31
Vestido,Outono,29.68,30,0,0.65,28,31
T-shirt,Outono,75.28,30,0,0.29,48,44
T-shirt,Inverno,108.87,0,1,0.41,15,32
T-shirt,Outono,12.19,10,0,0.24,39,56
Casaco,Outono,145.58,30,0,0.26,51,56
Saia,Primavera,118.18,0,1,0.54,46,73
T-shirt,Outono,45.36,0,0,0.31,26,39
Saia,Primavera,52.11,0,0,0.36,67,56
Casaco,Verão,67.15,0,0,0.57,3,1
T-shirt,Primavera,110.58,0,1,0.45,61,66
T-shirt,Inverno,15.6,0,0,0.34,25,24
Casaco,Verão,20.07,0,0,0.64,23,2
Casaco,Verão,135.69,10,0,0.59,1,5
Casaco,Primavera,84.03,20,0,0.54,29,11
Saia,Outono,111.14,20,0,0.4,23,31
Vestido,Verão,105.04,10,0,0.34,108,78
Saia,Outono,103.91,10,0,0.59,29,21
Casaco,Outono,68.19,20,0,0.62,56,64
Sweater,Inverno,11.67,10,0,0.46,65,73
Calças,Outono,97.15,0,0,0.45,49,42
Saia,Primavera,14.31,20,1,0.56,59,69
Sweater,Outono,99.61,10,0,0.29,61,55
Casaco,Primavera,55.79,10,1,0.3,30,30
Sweater,Primavera,138.17,20,0,0.21,26,21
Calças,Outono,16.16,20,0,0.39,49,50
T-shirt,Primavera,66.2,20,1,0.39,59,79
Saia,Outono,71.62,20,0,0.25,26,17
Vestido,Verão,74.75,0,0,0.59,58,67
Saia,Verão,76.41,0,0,0.58,76,63
Sweater,Primavera,13.48,0,1,0.32,27,23
Sweater,Outono,93.13,0,0,0.49,81,55
Casaco,Outono,25.93,0,0,0.33,62,58
Sweater,Verão,44.34,50,0,0.6,7,14
Casaco,Verão,41.58,30,0,0.3,4,3
T-shirt,Primavera,53.23,10,0,0.25,52,68
Sweater,Inverno,51.38,30,1,0.41,80,111
Calças,Outono,142.28,20,0,0.4,51,56
Calças,Outono,42.47,0,1,0.34,48,67
Calças,Verão,53.77,0,1,0.38,35,40
Casaco,Outono,60.84,50,1,0.27,43,92
T-shirt,Inverno,48.34,10,1,0.26,17,26
Sweater,Verão,117.69,10,1,0.37,5,19
T-shirt,Primavera,29.47,0,0,0.23,55,53
Sweater,Verão,133.62,20,1,0.37,8,12
Calças,Primavera,58.97,0,0,0.4,69,40
Calças,Outono,148.68,10,0,0.26,59,42
T-shirt,Outono,73.36,30,0,0.58,44,36
T-shirt,Inverno,51.57,20,0,0.57,23,17
T-shirt,Outono,93.24,0,0,0.54,48,31
Saia,Outono,93.24,10,0,0.37,33,20
Saia,Verão,144.81,10,1,0.39,61,74
Vestido,Primavera,77.79,20,1,0.39,51,90
T-shirt,Primavera,70.31,10,0,0.3,51,59
Casaco,Inverno,97.8,0,0,0.21,56,74
Vestido,Verão,126.19,0,1,0.44,74,90
Casaco,Verão,90.51,0,0,0.32,16,10
Calças,Inverno,44.96,10,1,0.53,52,57
Sweater,Primavera,78.56,0,0,0.51,32,12
Sweater,Verão,127.68,30,0,0.35,9,8
Sweater,Outono,63.42,20,0,0.37,53,65
Casaco,Outono,12.5,0,0,0.46,77,58
Casaco,Verão,21.72,30,0,0.38,11,18
Casaco,Inverno,109.14,20,0,0.56,60,66
Saia,Outono,27.05,30,0,0.52,42,29
T-shirt,Outono,41.18,0,0,0.34,30,34
Sweater,Verão,123.17,0,0,0.42,3,12
T-shirt,Inverno,61.29,0,1,0.26,11,26
Vestido,Inverno,80.23,0,0,0.53,7,2
Saia,Inverno,83.58,10,1,0.34,14,17
Vestido,Verão,31.15,20,0,0.62,65,86
Vestido,Primavera,134.78,10,1,0.26,57,82
Calças,Primavera,121.86,0,0,0.62,54,36
T-shirt,Outono,19.8,20,0,0.46,37,33
Casaco,Inverno,91.73,0,0,0.27,96,79
Calças,Primavera,27.18,20,0,0.6,59,53
Calças,Inverno,104.97,0,0,0.37,46,42
T-shirt,Verão,73.83,20,0,0.44,107,95
Casaco,Inverno,143.16,0,0,0.6,79,60
Vestido,Primavera,91.02,0,0,0.6,51,64
Vestido,Primavera,26.58,20,0,0.4,72,71
Calças,Inverno,46.56,0,0,0.62,54,44
Sweater,Verão,63.5,10,0,0.32,8,8
Calças,Inverno,63.75,0,0,0.26,46,48
Calças,Primavera,116.51,0,0,0.64,43,45
T-shirt,Verão,28.2,10,0,0.51,103,97
Casaco,Primavera,126.67,30,0,0.55,23,25
Casaco,Primavera,70.1,20,0,0.62,18,18
Calças,Primavera,82.42,0,1,0.59,65,53
Calças,Inverno,135.02,50,0,0.56,60,62
Casaco,Inverno,32.41,0,0,0.34,107,86
Saia,Inverno,112.49,20,0,0.3,13,17
Vestido,Outono,92.23,10,1,0.23,22,28
Sweater,Inverno,135.42,10,0,0.27,89,67
Casaco,Inverno,88.19,20,0,0.35,83,85
Casaco,Verão,92.13,30,0,0.56,1,4
Sweater,Outono,37.86,20,0,0.65,73,66
Saia,Primavera,128.11,0,0,0.48,61,28
Vestido,Inverno,14.28,50,1,0.62,19,24
Casaco,Outono,120.63,10,0,0.56,58,52
Calças,Verão,77.13,10,1,0.47,51,55
Calças,Inverno,73.62,10,0,0.21,39,47
Casaco,Verão,108.0,0,0,0.25,28,5
Vestido,Primavera,59.01,10,0,0.56,47,42
Vestido,Inverno,124.5,20,0,0.44,16,14
Vestido,Inverno,112.27,0,0,0.39,23,16
Sweater,Verão,28.25,0,0,0.46,14,15
Saia,Primavera,34.75,0,1,0.4,52,72
Calças,Outono,114.07,20,0,0.4,52,63
Saia,Outono,134.66,30,0,0.28,16,35
T-shirt,Inverno,23.77,0,0,0.27,23,21
Sweater,Primavera,22.31,20,0,0.22,22,22
Vestido,Inverno,121.03,10,0,0.48,22,5
T-shirt,Inverno,127.82,10,0,0.21,26,26
Casaco,Outono,25.0,0,0,0.32,42,56
Sweater,Verão,54.37,20,0,0.31,16,11
Calças,Verão,83.62,20,0,0.62,49,39
T-shirt,Outono,38.75,0,1,0.61,43,53
Saia,Primavera,51.51,10,0,0.21,42,61
T-shirt,Verão,14.22,50,0,0.22,85,129
Calças,Outono,97.29,0,1,0.4,59,58
Vestido,Primavera,42.46,0,0,0.44,84,80
Sweater,Outono,66.61,0,0,0.46,49,50
Vestido,Outono,14.45,20,0,0.45,17,27
T-shirt,Outono,138.87,20,0,0.4,44,37
T-shirt,Outono,58.53,0,1,0.22,19,42
Saia,Primavera,98.79,20,0,0.53,54,46
T-shirt,Inverno,16.97,0,0,0.21,29,16
Calças,Inverno,128.95,10,1,0.63,57,58
Sweater,Primavera,43.11,0,1,0.39,26,33
Saia,Verão,31.6,0,0,0.3,61,68
Sweater,Verão,98.43,0,0,0.6,14,14
T-shirt,Primavera,92.23,10,1,0.29,63,79
Sweater,Primavera,69.27,30,0,0.56,22,17
Calças,Verão,31.56,0,0,0.45,41,29
Sweater,Primavera,72.52,0,0,0.23,29,25
Vestido,Primavera,69.45,0,0,0.56,72,70
Saia,Verão,71.23,20,1,0.49,76,85
Sweater,Primavera,145.16,30,1,0.58,16,30
Saia,Inverno,146.56,30,1,0.62,18,20
Sweater,Verão,148.82,50,0,0.4,5,13
T-shirt,Verão,20.54,0,0,0.42,87,83
T-shirt,Inverno,87.04,0,0,0.64,15,7
Casaco,Inverno,118.05,30,0,0.65,62,79
T-shirt,Outono,119.0,20,0,0.56,46,28
Casaco,Primavera,147.44,10,1,0.24,19,22
Calças,Outono,95.49,0,1,0.23,60,70
Sweater,Primavera,124.18,10,1,0.49,26,35
Casaco,Outono,39.95,10,1,0.35,49,75
Saia,Primavera,134.49,0,1,0.52,59,58
Saia,Inverno,53.64,0,0,0.41,9,14
Casaco,Primavera,110.75,10,0,0.36,9,22
Vestido,Outono,36.34,0,1,0.39,39,28
Casaco,Inverno,119.72,0,1,0.29,83,92
Casaco,Primavera,36.37,10,1,0.27,11,15
T-shirt,Outono,75.38,20,0,0.56,35,33
T-shirt,Outono,45.38,0,0,0.3,42,40
Calças,Verão,70.44,0,0,0.24,41,35
T-shirt,Primavera,117.1,50,1,0.63,68,97
Calças,Verão,22.81,0,0,0.4,30,37
T-shirt,Verão,144.5,0,1,0.26,95,102
Saia,Outono,46.48,10,0,0.49,11,24
Vestido,Outono,90.72,20,0,0.26,24,19
Casaco,Verão,35.0,0,1,0.52,26,16
Saia,Primavera,103.19,0,0,0.4,66,49
Calças,Primavera,134.11,10,0,0.63,43,40
Sweater,Primavera,126.6,10,1,0.3,20,27
Casaco,Primavera,107.3,0,1,0.55,10,26
Casaco,Inverno,41.69,10,0,0.33,60,86
Sweater,Verão,40.47,0,0,0.47,4,13
Calças,Primavera,105.41,0,0,0.37,41,44
Casaco,Inverno,113.44,0,0,0.23,74,73
Casaco,Verão,57.03,0,0,0.65,23,11
Casaco,Outono,122.94,0,0,0.49,48,50
Sweater,Primavera,32.08,10,1,0.39,24,32
Casaco,Primavera,17.64,20,0,0.38,13,21
Sweater,Primavera,96.25,0,0,0.49,14,17
Saia,Primavera,102.65,20,0,0.24,48,56
Sweater,Verão,68.12,20,0,0.41,4,17
Saia,Outono,26.06,50,0,0.49,20,39
Vestido,Verão,63.55,10,0,0.55,89,86
T-shirt,Outono,28.32,20,0,0.42,27,42
Vestido,Primavera,23.82,10,0,0.27,65,70
Sweater,Outono,20.06,10,0,0.44,64,54
Saia,Outono,69.61,0,0,0.51,41,36
Vestido,Inverno,90.6,0,0,0.37,21,15
Sweater,Inverno,31.28,0,0,0.53,82,71
T-shirt,Inverno,90.7,30,1,0.49,16,36
Casaco,Verão,15.6,10,0,0.24,14,1
Casaco,Inverno,23.39,0,0,0.58,75,84
Calças,Verão,48.2,0,0,0.31,42,36
Calças,Inverno,19.73,0,0,0.62,48,45
Calças,Outono,110.64,30,0,0.44,66,55
Saia,Verão,23.2,10,0,0.35,87,69
Saia,Primavera,44.42,20,1,0.38,53,73
Vestido,Verão,115.23,0,1,0.3,123,104
Casaco,Primavera,45.09,0,0,0.33,24,16
T-shirt,Verão,38.28,20,1,0.41,59,127
Sweater,Outono,102.66,10,0,0.25,52,62
Calças,Inverno,88.44,0,1,0.61,56,61
Calças,Inverno,40.49,0,0,0.28,34,44
Saia,Outono,21.69,0,0,0.45,34,9
Sweater,Inverno,23.27,0,0,0.25,89,77
Saia,Primavera,121.06,20,0,0.5,66,49
Saia,Primavera,86.01,10,0,0.64,41,45
Vestido,Outono,92.12,10,1,0.35,31,29
Sweater,Outono,38.89,0,0,0.48,44,52
T-shirt,Outono,107.31,10,0,0.43,51,31
T-shirt,Primavera,143.34,20,0,0.5,53,57
Saia,Verão,17.4,20,1,0.31,84,95
Saia,Verão,24.08,0,0,0.65,58,62
Sweater,Outono,67.98,10,0,0.33,72,58
Casaco,Outono,24.06,30,0,0.48,40,64
Sweater,Verão,144.36,10,0,0.31,15,10
Saia,Outono,21.75,10,0,0.38,12,26
Sweater,Outono,50.8,0,0,0.58,82,52
Saia,Outono,126.0,10,0,0.45,21,25
Saia,Primavera,137.02,10,0,0.33,57,53
T-shirt,Verão,20.06,0,0,0.54,74,76
Calças,Outono,110.11,10,0,0.39,55,46
Saia,Primavera,37.52,30,0,0.61,50,63
Calças,Inverno,103.73,0,0,0.33,42,46
Vestido,Inverno,62.62,10,1,0.51,20,20
Sweater,Outono,95.85,10,0,0.26,60,59
Casaco,Verão,20.34,0,0,0.48,15,10
T-shirt,Outono,121.59,20,0,0.25,51,53
Vestido,Primavera,72.21,20,0,0.33,64,80
T-shirt,Outono,10.49,0,1,0.29,28,38
Vestido,Verão,97.41,0,0,0.62,95,73
T-shirt,Inverno,33.58,20,0,0.43,14,24
Sweater,Outono,142.28,0,0,0.21,67,52
Vestido,Primavera,63.69,30,0,0.59,67,67
Saia,Outono,113.52,0,1,0.49,9,32
Saia,Verão,123.64,20,0,0.48,47,63
Calças,Verão,25.76,20,0,0.41,29,38
Vestido,Inverno,61.2,20,0,0.45,14,17
Saia,Inverno,100.26,0,0,0.64,8,13
Vestido,Outono,91.09,0,0,0.32,17,31
Calças,Outono,31.56,20,1,0.3,61,72
Saia,Primavera,66.52,30,0,0.44,77,68
Calças,Outono,127.51,30,0,0.28,48,63
Vestido,Verão,58.01,50,0,0.38,61,105
Casaco,Outono,136.94,50,0,0.22,38,65
Calças,Inverno,38.12,20,1,0.49,44,62
Saia,Verão,22.78,10,0,0.43,68,71
Vestido,Outono,101.68,0,0,0.45,40,31
Saia,Verão,62.73,10,0,0.32,67,79
Vestido,Inverno,43.02,10,0,0.35,21,30
Calças,Inverno,32.3,0,0,0.62,54,36
Sweater,Verão,24.3,10,0,0.32,4,15
Vestido,Verão,86.2,20,0,0.61,79,100
Vestido,Primavera,64.23,20,0,0.53,62,66
Casaco,Verão,23.05,0,0,0.28,6,13
Vestido,Inverno,143.69,50,1,0.36,28,39
T-shirt,Inverno,149.44,10,0,0.28,36,23
T-shirt,Outono,80.64,30,0,0.58,36,48
T-shirt,Primavera,36.57,30,0,0.41,61,73
T-shirt,Inverno,69.77,50,1,0.6,15,21
Vestido,Verão,25.32,0,0,0.39,109,91
Vestido,Outono,57.05,0,0,0.42,14,19
Calças,Verão,135.51,20,0,0.63,32,34
Vestido,Inverno,35.79,0,0,0.51,15,13
Sweater,Inverno,99.86,50,0,0.39,89,100
Casaco,Primavera,136.21,0,0,0.37,24,21
Saia,Inverno,89.08,20,0,0.63,6,10
T-shirt,Primavera,137.62,0,1,0.34,71,73
T-shirt,Primavera,42.85,0,1,0.28,67,77
Saia,Inverno,41.88,0,0,0.26,17,18
Calças,Primavera,104.33,30,0,0.35,56,50
Sweater,Inverno,35.58,0,0,0.59,75,69
Saia,Primavera,64.99,0,1,0.22,55,78
Vestido,Primavera,85.59,0,0,0.43,89,60
Casaco,Primavera,12.85,20,0,0.65,14,14
Saia,Primavera,59.86,0,0,0.48,48,51
Saia,Outono,129.38,0,0,0.48,32,22
Calças,Verão,98.82,20,0,0.27,34,30
Vestido,Primavera,95.03,0,0,0.28,43,53
T-shirt,Inverno,17.69,0,0,0.42,6,25
T-shirt,Verão,89.17,20,1,0.6,84,114
Casaco,Primavera,107.97,0,0,0.53,18,29
Saia,Outono,49.9,20,0,0.52,19,28
Calças,Outono,106.03,10,0,0.61,40,46
Saia,Outono,78.83,0,1,0.38,23,19
Sweater,Inverno,116.21,10,1,0.41,85,81
Saia,Outono,19.18,20,0,0.44,19,27
Sweater,Outono,112.74,0,0,0.29,57,50
Sweater,Outono,93.43,0,0,0.41,47,47
Sweater,Verão,131.07,20,0,0.48,19,12
Sweater,Inverno,71.26,30,0,0.32,67,92
Casaco,Verão,23.22,0,1,0.3,22,15
Sweater,Outono,92.97,10,1,0.54,67,68
Calças,Inverno,139.9,0,0,0.39,50,42
Calças,Inverno,49.49,10,0,0.61,38,42
Sweater,Primavera,131.07,0,0,0.32,20,23
Calças,Outono,110.42,0,1,0.6,52,55
T-shirt,Outono,135.56,0,0,0.47,41,30
T-shirt,Primavera,113.31,0,0,0.57,68,45
Sweater,Outono,65.43,20,0,0.33,70,74
Vestido,Verão,145.61,20,0,0.26,65,90
T-shirt,Inverno,142.18,0,0,0.31,22,16
T-shirt,Primavera,24.74,20,0,0.36,53,77
T-shirt,Verão,78.83,0,0,0.37,95,72
Saia,Outono,55.65,0,0,0.54,17,20
Sweater,Outono,77.61,0,1,0.47,58,54
Casaco,Outono,68.5,10,0,0.62,85,64
Calças,Outono,95.8,20,0,0.41,71,62
Casaco,Verão,110.69,10,0,0.51,27,20
Casaco,Inverno,60.61,0,0,0.23,96,67
Sweater,Verão,75.97,30,0,0.33,11,12
T-shirt,Outono,139.65,20,0,0.26,56,41
Calças,Outono,84.79,0,0,0.38,33,31
T-shirt,Primavera,15.57,20,0,0.48,46,65
Saia,Outono,115.82,0,1,0.39,19,33
Sweater,Primavera,79.2,30,0,0.6,16,22
Vestido,Outono,136.82,30,0,0.26,24,29
Saia,Verão,68.33,0,1,0.48,56,83
Sweater,Outono,38.88,0,0,0.26,59,52
Saia,Outono,101.96,20,0,0.34,40,34
Vestido,Verão,90.82,20,1,0.34,69,101
Saia,Primavera,77.44,0,1,0.56,56,55
Saia,Inverno,36.7,10,1,0.55,23,1
Vestido,Primavera,107.6,50,0,0.36,54,80
T-shirt,Primavera,140.13,20,0,0.58,64,60
Casaco,Inverno,114.38,50,0,0.58,61,92
T-shirt,Verão,134.57,0,0,0.44,79,78
Vestido,Verão,128.97,0,1,0.26,86,84
Casaco,Primavera,93.86,0,0,0.23,1,10
T-shirt,Outono,106.26,50,0,0.48,48,58
T-shirt,Outono,27.94,10,0,0.27,41,37
Saia,Inverno,84.36,0,0,0.46,10,5
T-shirt,Inverno,20.12,30,0,0.38,10,16
Vestido,Outono,56.38,10,0,0.61,30,14
Saia,Primavera,101.62,10,0,0.29,58,46
Vestido,Inverno,29.52,10,0,0.55,15,5
T-shirt,Verão,12.49,10,0,0.51,101,95
Vestido,Outono,62.03,0,0,0.27,41,30
Saia,Inverno,73.13,10,0,0.51,13,21
Saia,Outono,16.87,0,0,0.54,28,22
Sweater,Outono,58.08,20,0,0.39,73,66
Sweater,Verão,60.13,30,0,0.64,13,6
T-shirt,Inverno,70.11,30,0,0.33,11,17
Sweater,Primavera,20.94,10,0,0.6,28,26
Saia,Primavera,100.52,0,0,0.46,54,47
Vestido,Verão,117.15,30,1,0.29,87,114
Saia,Inverno,127.19,10,0,0.51,14,3
Saia,Outono,14.33,0,0,0.23,23,21
T-shirt,Verão,50.18,30,0,0.32,100,110
Calças,Primavera,140.43,20,0,0.35,50,58
Calças,Verão,106.71,10,0,0.47,61,31
Sweater,Primavera,74.89,10,0,0.42,16,18
T-shirt,Verão,93.15,30,0,0.21,99,91
Sweater,Outono,122.33,0,1,0.25,71,74
T-shirt,Primavera,56.25,10,0,0.21,76,60
Calças,Outono,117.87,50,0,0.41,68,67
Sweater,Inverno,86.38,0,0,0.62,69,71
Vestido,Inverno,55.64,10,0,0.56,12,9
Casaco,Verão,114.69,0,0,0.44,1,1
Casaco,Verão,110.68,10,1,0.51,20,19
Casaco,Inverno,52.49,20,0,0.45,73,92
Casaco,Inverno,85.88,0,0,0.36,52,78
Saia,Outono,59.87,20,1,0.51,9,36
T-shirt,Verão,68.08,10,0,0.52,78,84
Sweater,Inverno,89.5,0,1,0.44,87,86
Vestido,Outono,50.45,0,0,0.49,24,23
Casaco,Verão,126.55,30,0,0.59,4,10
T-shirt,Verão,76.18,0,1,0.28,90,108
Casaco,Verão,132.68,0,0,0.23,6,3
Sweater,Primavera,58.6,10,0,0.41,36,18
Vestido,Outono,18.56,10,1,0.24,27,34
Sweater,Primavera,89.1,10,1,0.55,31,35
Casaco,Outono,131.05,30,0,0.22,73,60
Sweater,Outono,26.67,0,0,0.31,64,44
Vestido,Outono,85.52,10,0,0.2,26,24
Vestido,Primavera,135.26,30,1,0.62,49,87
Casaco,Outono,142.66,30,0,0.24,45,62
Calças,Primavera,69.56,30,0,0.44,54,52
Sweater,Inverno,48.86,20,0,0.25,100,87
Vestido,Outono,33.28,20,0,0.4,35,29
Casaco,Outono,107.83,20,0,0.44,54,50
Casaco,Outono,13.88,0,0,0.53,56,51
T-shirt,Inverno,126.39,0,0,0.37,30,20
Calças,Verão,16.01,10,0,0.39,44,42
Vestido,Inverno,99.14,30,0,0.57,32,19
Vestido,Verão,27.71,0,1,0.24,70,100
Casaco,Outono,148.17,30,0,0.37,42,49
Sweater,Verão,90.99,50,0,0.41,7,10
